,precio,fecha_constr,lat,lon
943,1485000,1900.0,41.3912930,2.1626570
946,1159750,1900.0,41.3929910,2.1774560
947,1237495,1900.0,41.3929910,2.1774560
948,2050000,1920.0,41.3947750,2.1621960
954,535000,1936.0,41.3986433,2.1688779
955,435000,1974.0,41.3979200,2.1749840
956,650000,1905.0,41.3864250,2.1648570
961,949000,1945.0,41.3876730,2.1668990
962,1150000,2020.0,41.3906000,2.1789400
963,1080000,1920.0,41.3954650,2.1710700
965,1450000,1969.0,41.3946000,2.1644700
966,410000,1900.0,41.3931900,2.1737200
967,637500,1961.0,41.3932000,2.1590500
969,1277243,1910.0,41.3979680,2.1666210
970,1216422,1910.0,41.3979680,2.1666210
972,318000,1900.0,41.3980890,2.1694900
974,1186011,1910.0,41.3979680,2.1666210
975,545000,1890.0,41.3930610,2.1578540
976,644000,1900.0,41.4020916,2.1637388
977,1101296,1910.0,41.3979680,2.1666210
978,1875000,1902.0,41.3908225,2.1745530
980,1101296,1910.0,41.3979680,2.1666210
983,850000,1887.0,41.3928050,2.1623630
985,657800,1900.0,41.4019389,2.1639424
986,385000,1936.0,41.4005388,2.1685019
988,1186011,1910.0,41.3979680,2.1666210
994,465000,1990.0,41.4005650,2.1747032
995,687000,1900.0,41.3899281,2.1753259
996,1157773,1910.0,41.3979680,2.1666210
997,1129535,1910.0,41.3979680,2.1666210
999,949000,1945.0,41.3865235,2.1655215
1001,1150000,1890.0,41.3907000,2.1653700
1013,1157773,1910.0,41.3979680,2.1666210
1017,550000,1890.0,41.3928627,2.1623446
1020,375000,1900.0,41.3947470,2.1680130
1021,1155601,1910.0,41.3979680,2.1666210
1026,1150000,1890.0,41.3894897,2.1638962
1028,1700000,1998.0,41.3867753,2.1702178
1030,450000,1954.0,41.3969466,2.1733082
1031,550000,1900.0,41.3934770,2.1673470
1032,5000000,1960.0,41.3955000,2.1621100
1033,820000,1900.0,41.3922797,2.1679379
1035,995000,1900.0,41.3914000,2.1786100
1039,368000,1963.0,41.3922906,2.1769046
1040,89800,1963.0,41.3879170,2.1699187
1041,745000,1926.0,41.3998000,2.1656100
1044,450000,1954.0,,
1045,485000,1950.0,,
1046,485000,1950.0,,
1047,699000,1902.0,41.3896990,2.1758320
1048,665000,1900.0,41.3889300,2.1633000
